,Наименование полигона,Краткое наименование,Полигон,Номерной знак ТС,Наименование структурного подразделения,Тип закрепления,дата путевого листа,"Данные путевых листов, пробег",Дата сигнала телематики,"Данные телематики, пробег",Штрафы,манера вождения
4009,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,АС399730,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,,,2024-04-18,980.0,,6.0
4010,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,АС399730,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,,,2024-04-25,350.0,,6.0
4011,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,АС399730,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,,,2024-04-26,1150.0,,6.0
4013,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Н594НВ65,Котласская механизированная дистанция ПРР и КО,Прочие,2024-04-05,455.0,2024-04-05,455.0,,5.6
4014,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Н594НВ65,Котласская механизированная дистанция ПРР и КО,Прочие,2024-04-08,204.0,2024-04-08,204.0,,5.6
4015,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Н594НВ65,Котласская механизированная дистанция ПРР и КО,Прочие,2024-04-09,213.0,2024-04-09,213.0,,5.6
4016,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Н594НВ65,Котласская механизированная дистанция ПРР и КО,Прочие,2024-04-10,17.0,2024-04-10,317.0,,5.6
4017,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Н594НВ65,Котласская механизированная дистанция ПРР и КО,Прочие,2024-04-12,9.0,2024-04-12,9.0,,5.6
4018,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Н594НВ65,Котласская механизированная дистанция ПРР и КО,Прочие,2024-04-16,65.0,2024-04-16,65.0,,5.6
4019,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Н594НВ65,Котласская механизированная дистанция ПРР и КО,Прочие,2024-04-17,208.0,2024-04-17,208.0,,5.6
4020,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Н594НВ65,Котласская механизированная дистанция ПРР и КО,Прочие,2024-04-18,80.0,2024-04-18,80.0,,5.6
4021,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Н594НВ65,Котласская механизированная дистанция ПРР и КО,Прочие,2024-04-25,150.0,2024-04-25,150.0,,5.6
4022,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Н594НВ65,Котласская механизированная дистанция ПРР и КО,Прочие,2024-04-26,150.0,2024-04-26,150.0,,5.6
4023,СЕВЕРНАЯ ЖД,ЦМ,ДВОСТ ДМ,АТ050166,Котласская механизированная дистанция ПРР и КО,Прочие,,0.0,,0.0,0.0,0.0
4024,СЕВЕРНАЯ ЖД,ЦМ,ДВОСТ ДМ,АТ050066,Котласская механизированная дистанция ПРР и КО,Прочие,,0.0,,0.0,0.0,0.0
4026,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,М900ЕХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-04,309.0,,,,5.9
4027,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,М900ЕХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-08,523.0,,,,5.9
4028,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,М900ЕХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-09,42.0,,,,5.9
4029,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,М900ЕХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-10,32.0,,,,5.9
4030,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,М900ЕХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-17,31.0,,,,5.9
4031,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,М900ЕХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-18,27.0,,,,5.9
4032,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,М900ЕХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-19,591.0,,,,5.9
4033,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,М900ЕХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-20,971.0,,,,5.9
4034,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,М900ЕХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-25,1013.0,,,,5.9
4035,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,М900ЕХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-26,37.0,,,,5.9
4036,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,М900ЕХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-27,112.0,,,,5.9
4037,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,4400ХА07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,,0.0,,0.0,0.0,0.0
4039,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,0003ВН74,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,,,2024-04-01,180.0,,5.8
4040,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,0003ВН74,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,,,2024-04-03,19.0,,5.8
4041,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,0003ВН74,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,,,2024-04-15,5.36,,5.8
4042,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,ВА009050,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,,0.0,,0.0,0.0,0.0
4044,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О614НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-05,555.0,,,,5.2
4045,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О614НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-08,204.0,,,,5.2
4046,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О614НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-09,213.0,,,,5.2
4047,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О614НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-10,1217.0,,,,5.2
4048,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О614НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-12,1029.0,,,,5.2
4049,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О614НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-16,665.0,,,,5.2
4050,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О614НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-17,208.0,,,,5.2
4051,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О614НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-18,80.0,,,,5.2
4053,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-01,876.0,2024-04-01,876.0,,5.9
4054,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-02,1147.0,2024-04-02,1147.0,,5.9
4055,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-03,979.0,2024-04-03,979.0,,5.9
4056,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-04,956.0,2024-04-04,956.0,,5.9
4057,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-05,1157.0,2024-04-05,1157.0,,5.9
4058,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-06,364.0,2024-04-06,664.0,,5.9
4059,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-07,163.0,2024-04-07,163.0,,5.9
4060,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-08,681.0,2024-04-08,681.0,,5.9
4061,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-09,1138.0,2024-04-09,1138.0,,5.9
4062,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-10,269.0,2024-04-10,269.0,,5.9
4063,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-11,453.0,2024-04-11,453.0,,5.9
4064,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-12,939.0,2024-04-12,939.0,,5.9
4065,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-13,580.0,2024-04-13,580.0,,5.9
4066,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-15,619.0,2024-04-15,619.0,,5.9
4067,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-16,912.0,2024-04-16,912.0,,5.9
4068,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-17,978.0,2024-04-17,978.0,,5.9
4069,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-18,952.0,2024-04-18,952.0,,5.9
4070,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О750НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-27,925.0,2024-04-27,925.0,,5.9
4072,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,К731ВХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-05,555.0,2024-04-05,555.0,,5.6
4073,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,К731ВХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-08,1204.0,2024-04-08,904.0,,5.6
4074,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,К731ВХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-09,1213.0,2024-04-09,1213.0,,5.6
4075,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,К731ВХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-10,1017.0,2024-04-10,1017.0,,5.6
4076,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,К731ВХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-12,1219.0,2024-04-12,1219.0,,5.6
4077,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,К731ВХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-16,665.0,2024-04-16,665.0,,5.6
4078,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,К731ВХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-17,808.0,2024-04-17,808.0,,5.6
4079,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,К731ВХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-18,980.0,2024-04-18,980.0,,5.6
4080,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,К731ВХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-25,1350.0,2024-04-25,1350.0,,5.6
4081,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,К731ВХ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-26,1150.0,2024-04-26,1150.0,,5.6
4083,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-01,876.0,2024-04-01,876.0,,5.9
4084,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-02,1147.0,2024-04-02,1147.0,,5.9
4085,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-03,979.0,2024-04-03,979.0,,5.9
4086,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-04,956.0,2024-04-04,956.0,,5.9
4087,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-05,1157.0,2024-04-05,1157.0,,5.9
4088,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-06,364.0,2024-04-06,364.0,,5.9
4089,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-07,163.0,2024-04-07,163.0,,5.9
4090,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-08,681.0,2024-04-08,681.0,,5.9
4091,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-09,1138.0,2024-04-09,1138.0,,5.9
4092,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-10,269.0,2024-04-10,269.0,,5.9
4093,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-11,453.0,2024-04-11,453.0,,5.9
4094,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-12,939.0,2024-04-12,939.0,,5.9
4095,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-13,580.0,2024-04-13,580.0,,5.9
4096,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-15,619.0,2024-04-15,619.0,,5.9
4097,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-16,912.0,2024-04-16,912.0,,5.9
4098,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-17,978.0,2024-04-17,978.0,,5.9
4099,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-18,952.0,2024-04-18,952.0,,5.9
4100,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-19,781.0,2024-04-19,781.0,,5.9
4101,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-20,944.0,2024-04-20,944.0,,5.9
4102,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-21,822.0,2024-04-21,822.0,,5.9
4103,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-22,873.0,2024-04-22,873.0,,5.9
4104,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-23,536.0,2024-04-23,536.0,,5.9
4105,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-24,106.0,2024-04-24,106.0,,5.9
4106,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-25,460.0,2024-04-25,460.0,,5.9
4107,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-26,222.0,2024-04-26,222.0,,5.9
4108,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-27,925.0,2024-04-27,925.0,,5.9
4109,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-28,719.0,2024-04-28,719.0,,5.9
4110,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-29,345.0,2024-04-29,345.0,,5.9
4111,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,Р107ХН07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-30,421.0,2024-04-30,421.0,,5.9
4113,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-05,555.0,2024-04-02,1341.0,,1.6
4114,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-08,204.0,2024-04-03,1024.0,,1.6
4115,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-09,213.0,2024-04-05,555.0,,1.6
4116,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-10,17.0,2024-04-08,204.0,,1.6
4117,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-12,9.0,2024-04-09,213.0,,1.6
4118,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-16,665.0,2024-04-10,17.0,,1.6
4119,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-17,208.0,2024-04-12,1029.0,,1.6
4120,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-18,80.0,2024-04-16,665.0,,1.6
4121,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-25,350.0,2024-04-17,208.0,,1.6
4122,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-26,150.0,2024-04-18,980.0,,1.6
4123,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,,,2024-04-25,350.0,,1.6
4124,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О063НМ07,Котласская механизированная дистанция ПРР и КО,В целевой структуре парка,,,2024-04-26,150.0,,1.6
4126,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-01,876.0,2024-04-03,26.76,,2.5
4127,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-02,147.0,,,,2.5
4128,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-03,79.0,,,,2.5
4129,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-04,156.0,,,,2.5
4130,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-05,157.0,,,,2.5
4131,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-06,364.0,,,,2.5
4132,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-07,163.0,,,,2.5
4133,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-08,681.0,,,,2.5
4134,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-09,1138.0,,,,2.5
4135,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-10,269.0,,,,2.5
4136,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-11,453.0,,,,2.5
4137,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-12,939.0,,,,2.5
4138,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-13,580.0,,,,2.5
4139,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-15,619.0,,,,2.5
4140,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-16,912.0,,,,2.5
4141,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-17,978.0,,,,2.5
4142,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-18,952.0,,,,2.5
4143,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-19,781.0,,,,2.5
4144,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-20,944.0,,,,2.5
4145,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-21,822.0,,,,2.5
4146,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-22,873.0,,,,2.5
4147,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-23,536.0,,,,2.5
4148,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-24,106.0,,,,2.5
4149,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-25,460.0,,,,2.5
4150,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-26,222.0,,,,2.5
4151,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-27,125.0,,,,2.5
4152,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-28,719.0,,,,2.5
4153,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-29,345.0,,,,2.5
4154,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,О644НМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-30,421.0,,,,2.5
4156,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,У415РМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-01,876.0,2024-04-01,876.0,,4.6
4157,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,У415РМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-02,347.0,2024-04-03,79.0,,4.6
4158,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,У415РМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-03,79.0,2024-04-15,5.36,,4.6
4159,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,У415РМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-04,156.0,,,,4.6
4160,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,У415РМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-05,157.0,,,,4.6
4161,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,У415РМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-06,364.0,,,,4.6
4162,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,У415РМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-07,163.0,,,,4.6
4163,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,У415РМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-08,1056.0,,,,4.6
4164,СЕВЕРНАЯ ЖД,ЦМ,Северная ДМ,У415РМ07,Архангельская механизированная дистанция ПРР и КО,В целевой структуре парка,2024-04-09,1138.0,,,,4.6
